marca,valor_normalizado,propuesta_canonica
MG,,No especificado
MG,ehs,HS EV
MG,hs,HS
MG,hshev,HS HEV
MG,hsnueva,HS
MG,hsphev,HS PHEV
MG,mg gt,MG GT
MG,mg3,MG3
MG,mg3 hybrid,MG3 Hybrid
MG,mg4,MG4
MG,mg5 mce,MG5 MCE
MG,mg7,MG7
MG,mgimls7,MG IM LS7
MG,no envian producto valido,No especificado
MG,nueva zs,ZS
MG,p9,MG P9
MG,rx5,RX5
MG,rx8,RX8
MG,rx9,RX9
MG,zs,ZS
MG,zsev,ZS EV
MG,zshev,ZS HEV
Honda,,No especificado
Honda,accord,Accord
Honda,accord hybrid,Accord Hybrid
Honda,acura adx,Acura ADX
Honda,br-v,BR-V
Honda,brv,BR-V
Honda,city,City
Honda,civic,Civic
Honda,civic hybrid,Civic Hybrid
Honda,cr-v,CR-V
Honda,cr-v hybrid,CR-V Hybrid
Honda,crv,CR-V
Honda,crv hev,CR-V Hybrid
Honda,crv hybrid,CR-V Hybrid
Honda,fit,Fit
Honda,honda cr-v hev (híbrida),CR-V Hybrid
Honda,hr-v,HR-V
Honda,hrv,HR-V
Honda,insight,Insight
Honda,n-a,No especificado
Honda,no envian producto valido,No especificado
Honda,odyssey,Odyssey
Honda,pilot,Pilot
Honda,producto,Dato inválido (no es un producto)
Honda,es,Dato inválido (no es un producto)
Honda,?_más_de_$100 000,Dato inválido (no es un producto)
Honda,?_menos_de_$50 000,Dato inválido (no es un producto)
Honda,civic hev,Civic Hybrid
Honda,crv hibrida,CR-V Hybrid
Honda,honda_br-v,BR-V
Honda,honda_cr-v,CR-V
Honda,autofinanciamiento,Dato inválido (no es un producto)
Honda,city prime,City
Honda,rdx,Acura RDX
Honda,facturacion,Dato inválido (no es un producto)
Honda,integra types,Acura Integra
Honda,cr-v touring hev,CR-V Hybrid
Honda,cr-v touring cvt,CR-V
Honda,hr-v prime,HR-V
Honda,city touring ta,City
Honda,br-v uniq,BR-V
Honda,pilot touring,Pilot
Honda,civic touring,Civic
Honda,hr-v sport cvt,HR-V
Honda,hr-v uniq mt,HR-V
Honda,cr-v turbo plus cvt,CR-V
Honda,hr-v touring cvt,HR-V
Honda,accord prime,Accord
Honda,accord 4d touring,Accord
Honda,city prime cvt,City
Honda,city sport cvt,City
Honda,br-v prime,BR-V
Honda,odyssey touring,Odyssey
Honda,hr-v uniq cvt,HR-V
Honda,civic hev touring,Civic Hybrid
Honda,civic sedan i-style,Civic
Honda,insight hibrido,Insight
Honda,pilot black edition,Pilot
Honda,br-v touring,BR-V
Honda,accord touring hev,Accord Hybrid
Honda,crv touring gasolina,CR-V
Honda,city lx tm,City
Honda,cr-v turbo cvt,CR-V
Honda,civic sport plus 2d,Civic
Honda,civic hev sport,Civic Hybrid
Honda,accord sport plus,Accord
Honda,integra,Acura Integra
Honda,autos demo,No especificado
Honda,hr v,HR-V
Honda,honda city sport,City
MG,cyberster,MG Cyberster
MG,zs hev,ZS HEV
